facebook.com, 157.240.28.35
youtube.com, 172.217.2.14
yahoo.com, 98.137.246.8
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
msn.com, 13.82.28.61
baidu.com, 39.156.69.79
blogspot.com, 172.217.12.9
microsoft.com, 40.113.200.201
qq.com, 58.250.137.36
taobao.com, 140.205.94.189
bing.com, 13.107.21.200
sina.com.cn, 123.126.55.41
soso.com, 119.28.109.132
163.com, 123.58.180.8
ask.com, 151.101.70.114
adobe.com, 193.104.215.58
twitter.com, 104.244.42.193
mozilla.com, 63.245.208.194
youku.com, 106.11.47.20
sdjjdsaf.com, 
andysayler.com, 138.197.228.157
wmfo.org, 23.92.21.128
amazon.com, 205.251.242.103
wordpress.com, 192.0.78.9
tudou.com, 106.11.186.1
yahoo.co.jp, 182.22.59.229
sohu.com, 211.159.191.18
apple.com, 17.178.96.59
hao123.com, 39.156.68.154
windows.com, 13.77.161.179
ebay.com, 66.135.196.249
pps.tv, 116.211.199.234
xunlei.com, 121.41.61.107
56.com, 183.6.206.243
fc2.com, 52.32.199.173
paypal.com, 64.4.250.36
sogou.com, 118.191.216.42
tmall.com, 140.205.94.193
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.16.234
about.com, 151.101.2.114
orkut.com.br, 132.148.40.250
paipai.com, 106.39.169.133
alipay.com, 110.75.129.5
softonic.com, 34.102.141.129
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.18
cnn.com, 151.101.65.67
tianya.cn, 124.225.65.154
mywebsearch.com, 34.102.244.163
zynga.com, 52.84.125.98
partypoker.com, 195.72.134.91
hp.com, 15.72.164.74
walmart.com, 161.170.232.170
kugou.com, 183.131.48.92
ebay.de, 66.135.195.175
youdao.com, 103.72.47.248
hotfile.com, 18.207.9.28
qiyi.com, 111.206.13.61
pconline.com.cn, 219.136.244.85
odnoklassniki.ru, 5.61.23.11
jp.msn.com, 13.88.15.24
ifeng.com, 123.103.122.24
goo.ne.jp, 153.254.147.65
bbc.co.uk, 151.101.64.81
yandex.ru, 77.88.55.70
myspace.com, 63.135.90.70
mail.ru, 217.69.139.200
cnet.com, 35.190.79.82
go.com, 23.236.60.174
4399.com, 118.184.184.70
orkut.com, 216.239.32.21
skype.com, 23.102.255.237
ameblo.jp, 151.101.65.83
naver.com, 210.89.160.88
flickr.com, 143.204.30.100
4shared.com, 204.155.149.41
amazon.co.jp, 52.119.168.48
linkedin.com, 108.174.10.10
dailymotion.com, 195.8.215.136
imdb.com, 52.94.225.248
aol.com, 188.125.72.165
hotmail.com, 204.79.197.212
360.cn, 36.110.213.10
craigslist.org, 208.82.237.129
weather.com, 23.208.156.177
soku.com, 106.11.47.20
alibaba.com, 198.11.136.127
megaupload.com, 
renren.com, 120.133.2.243
livedoor.jp, 203.104.153.16
blogger.com, 172.217.12.9
vkontakte.ru, 93.186.225.208
answers.com, 151.101.192.203
rapidshare.com, 0.0.0.0
daum.net, 211.231.99.80
7k7k.com, 106.75.22.155
2345.com, 42.62.30.180
photobucket.com, 209.17.68.100
mediafire.com, 104.16.203.237
ehow.com, 104.93.24.233
seesaa.net, 59.106.28.142
